origin,Destination,Chargeable Wt,Mode,Nature of Consignment,Historical_Delivery_Days
Coimbatore,Meerut,10.35,Surface,Non-Dox,5
Jaipur,Thiruvananthapuram,5.04,Air Cargo,Dox,5
Coimbatore,Bhopal,9.57,Surface,Non-Dox,5
Dehradun,Chennai,6.58,Surface,Non-Dox,5
Nashik,Srinagar,6.18,Surface,Dox,5
Raipur,Shimla,7.41,Express,Non-Dox,2
Hyderabad,Guwahati,3.95,Express,Dox,2
Patna,Ahmedabad,2.2,Surface,Non-Dox,3
Vizag,Surat,7.68,Surface,Dox,5
Bhopal,Pune,4.77,Surface,Non-Dox,3
Delhi,Thiruvananthapuram,12.02,Surface,Dox,5
Bhopal,Coimbatore,10.39,Surface,Non-Dox,5
Shimla,Raipur,9.67,Surface,Dox,5
Amritsar,Jamshedpur,8.9,Express,Dox,2
Surat,Pune,3.77,Surface,Dox,3
Meerut,Agra,5.68,Air Cargo,Non-Dox,5
Bangalore,Lucknow,6.65,Air Cargo,Non-Dox,5
Hyderabad,Mumbai,1.99,Express,Non-Dox,1
Vijayawada,Ranchi,10.62,Surface,Dox,5
Ranchi,Vizag,5.25,Express,Non-Dox,2
Kochi,Thiruvananthapuram,7.08,Surface,Non-Dox,5
Kolkata,Meerut,9.26,Express,Dox,2
Pune,Delhi,4.35,Surface,Non-Dox,3
Raipur,Jamshedpur,6.82,Surface,Non-Dox,5
Srinagar,Meerut,2.29,Express,Non-Dox,2
Lucknow,Pune,12.5,Surface,Non-Dox,5
Ahmedabad,Kochi,9.78,Surface,Dox,5
Bangalore,Thiruvananthapuram,11.68,Air Cargo,Non-Dox,5
Agra,Amritsar,3.93,Air Cargo,Dox,3
Delhi,Jamshedpur,8.55,Surface,Non-Dox,5
Agra,Ahmedabad,3.93,Surface,Dox,3
Indore,Bhopal,13.33,Surface,Non-Dox,5
Ludhiana,Chandigarh,10.8,Surface,Non-Dox,5
Kochi,Bangalore,4.32,Surface,Non-Dox,3
Meerut,Agra,5.04,Surface,Dox,5
Ludhiana,Kochi,13.18,Surface,Non-Dox,5
Mumbai,Dehradun,11.99,Surface,Dox,5
Bhopal,Ahmedabad,9.79,Express,Non-Dox,2
Agra,Kolkata,11.34,Air Cargo,Non-Dox,5
Surat,Dehradun,13.06,Surface,Non-Dox,5
Aurangabad,Ahmedabad,8.52,Air Cargo,Non-Dox,5
Raipur,Bangalore,4.05,Air Cargo,Dox,3
Aurangabad,Patna,2.66,Surface,Dox,3
Ludhiana,Guwahati,7.38,Surface,Non-Dox,5
Delhi,Coimbatore,5.6,Surface,Dox,5
Surat,Ludhiana,12.98,Air Cargo,Dox,5
Coimbatore,Kochi,8.31,Surface,Non-Dox,5
Dehradun,Kochi,7.8,Surface,Non-Dox,5
Bhubaneswar,Meerut,7.62,Air Cargo,Dox,5
Chandigarh,Chennai,11.03,Surface,Non-Dox,5
Surat,Vizag,10.99,Surface,Dox,5
Thiruvananthapuram,Surat,4.41,Surface,Non-Dox,3
Amritsar,Chandigarh,8.42,Surface,Dox,5
Chandigarh,Bangalore,8.96,Surface,Dox,5
Thiruvananthapuram,Surat,4.53,Surface,Non-Dox,3
Delhi,Agra,11.02,Air Cargo,Dox,5
Shimla,Guwahati,5.91,Express,Dox,2
Dehradun,Kochi,12.93,Air Cargo,Dox,5
Hyderabad,Agra,4.14,Surface,Dox,3
Ahmedabad,Nagpur,5.63,Surface,Non-Dox,5
Amritsar,Nagpur,6.58,Express,Non-Dox,2
Surat,Nagpur,10.4,Surface,Dox,5
Bhubaneswar,Guwahati,11.63,Express,Dox,2
Kochi,Varanasi,7.69,Express,Dox,2
Surat,Indore,5.18,Express,Non-Dox,2
Vizag,Kochi,6.3,Express,Non-Dox,2
Jamshedpur,Guwahati,8.11,Surface,Dox,5
Srinagar,Guwahati,5.02,Surface,Dox,5
Nashik,Amritsar,8.61,Express,Dox,2
Varanasi,Surat,8.27,Surface,Dox,5
Vizag,Indore,5.33,Surface,Dox,5
Bhopal,Aurangabad,13.93,Surface,Dox,5
Bangalore,Amritsar,3.97,Surface,Dox,3
Bhubaneswar,Vijayawada,9.67,Surface,Non-Dox,5
Pune,Ahmedabad,6.03,Express,Dox,2
Surat,Raipur,10.93,Surface,Non-Dox,5
Nashik,Ranchi,11.44,Surface,Non-Dox,5
Bhubaneswar,Nashik,5.69,Surface,Dox,5
Bhubaneswar,Jaipur,2.6,Air Cargo,Non-Dox,3
Hyderabad,Mumbai,2.73,Surface,Dox,3
Chennai,Agra,4.51,Surface,Non-Dox,3
Srinagar,Bangalore,6.4,Surface,Non-Dox,5
Delhi,Srinagar,5.16,Surface,Non-Dox,5
Lucknow,Chandigarh,4.91,Surface,Dox,3
Jamshedpur,Hyderabad,11.12,Surface,Non-Dox,5
Jaipur,Raipur,9.22,Surface,Dox,5
Aurangabad,Amritsar,10.1,Surface,Non-Dox,5
Surat,Patna,2.74,Surface,Non-Dox,3
Bhubaneswar,Lucknow,5.62,Air Cargo,Dox,5
Vijayawada,Chennai,7.33,Express,Dox,2
Vijayawada,Nashik,1.31,Surface,Non-Dox,3
Bhubaneswar,Kochi,8.22,Surface,Non-Dox,5
Vijayawada,Nashik,1.86,Express,Dox,1
Coimbatore,Jaipur,8.23,Express,Dox,2
Chennai,Ludhiana,10.82,Express,Dox,2
Varanasi,Ranchi,12.13,Surface,Dox,5
Ludhiana,Varanasi,3.35,Air Cargo,Non-Dox,3
Bhopal,Delhi,14.01,Air Cargo,Non-Dox,5
Bangalore,Ranchi,7.39,Surface,Non-Dox,5
Varanasi,Bhopal,5.13,Surface,Dox,5
Bangalore,Shimla,5.82,Surface,Dox,5
Srinagar,Kochi,10.99,Surface,Dox,5
Srinagar,Kochi,9.05,Surface,Non-Dox,5
Chennai,Raipur,12.27,Surface,Non-Dox,5
Pune,Bhubaneswar,7.05,Surface,Non-Dox,5
Coimbatore,Agra,5.57,Surface,Non-Dox,5
Jaipur,Agra,9.24,Surface,Non-Dox,5
Dehradun,Mumbai,9.55,Surface,Non-Dox,5
Kolkata,Indore,10.52,Surface,Dox,5
Dehradun,Jaipur,5.72,Surface,Dox,5
Bhopal,Thiruvananthapuram,10.54,Surface,Dox,5
Ludhiana,Amritsar,3.39,Air Cargo,Non-Dox,3
Delhi,Bhubaneswar,6.01,Express,Dox,2
Nagpur,Pune,9.55,Surface,Non-Dox,5
Raipur,Agra,3.49,Surface,Dox,3
Vizag,Mumbai,3.6,Surface,Non-Dox,3
Mumbai,Lucknow,4.73,Surface,Non-Dox,3
Coimbatore,Patna,9.32,Express,Dox,2
Dehradun,Surat,2.76,Surface,Dox,3
Agra,Nashik,6.63,Surface,Dox,5
Coimbatore,Raipur,13.08,Express,Non-Dox,2
Aurangabad,Surat,8.13,Surface,Dox,5
Bhopal,Amritsar,5.16,Surface,Dox,5
Mumbai,Thiruvananthapuram,11.74,Surface,Non-Dox,5
Jaipur,Indore,13.76,Surface,Non-Dox,5
Chennai,Nagpur,6.55,Surface,Dox,5
Nagpur,Srinagar,5.33,Air Cargo,Non-Dox,5
Amritsar,Raipur,7.92,Express,Dox,2
Bangalore,Meerut,6.64,Express,Non-Dox,2
Bhopal,Ludhiana,8.66,Surface,Dox,5
Thiruvananthapuram,Jaipur,9.45,Express,Dox,2
Meerut,Thiruvananthapuram,6.47,Surface,Dox,5
Varanasi,Ludhiana,5.76,Surface,Non-Dox,5
Jamshedpur,Nagpur,8.93,Surface,Non-Dox,5
Surat,Hyderabad,4.42,Surface,Dox,3
Nashik,Dehradun,11.64,Surface,Dox,5
Thiruvananthapuram,Varanasi,12.05,Air Cargo,Non-Dox,5
Bangalore,Raipur,11.64,Surface,Dox,5
Indore,Ludhiana,10.44,Surface,Dox,5
Chandigarh,Bhopal,4.94,Air Cargo,Dox,3
Ahmedabad,Nagpur,3.2,Surface,Non-Dox,3
Varanasi,Indore,8.06,Surface,Dox,5
Mumbai,Delhi,12.65,Air Cargo,Non-Dox,5
Ahmedabad,Patna,5.82,Surface,Non-Dox,5
Agra,Bhopal,0.98,Express,Dox,1
Chennai,Coimbatore,4.3,Surface,Non-Dox,3
Meerut,Bhopal,3.8,Express,Dox,2
Surat,Indore,1.24,Surface,Dox,3
Agra,Vizag,8.05,Surface,Dox,5
Nashik,Indore,12.01,Surface,Dox,5
Indore,Nagpur,6.36,Surface,Dox,5
Kolkata,Indore,13.88,Express,Non-Dox,2
Thiruvananthapuram,Ahmedabad,3.76,Surface,Dox,3
Ranchi,Pune,9.94,Air Cargo,Dox,5
Hyderabad,Vijayawada,4.36,Surface,Dox,3
Varanasi,Thiruvananthapuram,4.14,Air Cargo,Dox,3
Amritsar,Raipur,7.2,Surface,Non-Dox,5
Amritsar,Chandigarh,11.35,Express,Non-Dox,2
Hyderabad,Shimla,5.83,Surface,Dox,5
Mumbai,Hyderabad,11.76,Express,Non-Dox,2
Raipur,Srinagar,7.01,Surface,Dox,5
Nagpur,Indore,13.63,Surface,Non-Dox,5
Thiruvananthapuram,Varanasi,10.12,Surface,Dox,5
Dehradun,Nashik,12.93,Surface,Dox,5
Bhopal,Ranchi,4.68,Express,Dox,2
Guwahati,Chandigarh,10.43,Express,Dox,2
Chandigarh,Agra,9.18,Express,Non-Dox,2
Bhopal,Hyderabad,12.95,Surface,Dox,5
Ludhiana,Ranchi,3.8,Surface,Dox,3
Nashik,Surat,9.81,Surface,Non-Dox,5
Amritsar,Nashik,10.59,Surface,Dox,5
Surat,Shimla,2.01,Surface,Dox,3
Meerut,Mumbai,10.63,Air Cargo,Non-Dox,5
Jamshedpur,Kochi,5.06,Surface,Non-Dox,5
Nagpur,Ranchi,8.62,Surface,Non-Dox,5
Jaipur,Nashik,3.75,Air Cargo,Dox,3
Chennai,Jaipur,8.91,Surface,Non-Dox,5
Varanasi,Jaipur,4.56,Air Cargo,Non-Dox,3
Ludhiana,Coimbatore,4.41,Express,Dox,2
Bhopal,Mumbai,10.84,Air Cargo,Dox,5
Srinagar,Dehradun,10.29,Surface,Dox,5
Guwahati,Kolkata,8.28,Express,Dox,2
Meerut,Varanasi,11.6,Surface,Dox,5
Surat,Pune,1.54,Surface,Non-Dox,3
Ludhiana,Ahmedabad,9.93,Air Cargo,Dox,5
Agra,Patna,4.24,Surface,Dox,3
Jaipur,Aurangabad,5.35,Surface,Non-Dox,5
Aurangabad,Vijayawada,10.53,Air Cargo,Non-Dox,5
Lucknow,Chennai,7.89,Express,Non-Dox,2
Kochi,Jaipur,6.37,Air Cargo,Dox,5
Jaipur,Thiruvananthapuram,5.17,Surface,Non-Dox,5
Vijayawada,Bhopal,9.61,Express,Dox,2
Surat,Shimla,3.97,Surface,Dox,3
Kochi,Thiruvananthapuram,11.61,Air Cargo,Non-Dox,5
Chennai,Nagpur,8,Express,Dox,2
Hyderabad,Dehradun,10.04,Surface,Dox,5
Varanasi,Aurangabad,4.63,Air Cargo,Non-Dox,3
Pune,Coimbatore,10.15,Surface,Dox,5
Vizag,Ranchi,12.58,Surface,Non-Dox,5
Ludhiana,Nashik,8.07,Air Cargo,Dox,5
Amritsar,Raipur,1.6,Surface,Non-Dox,3
Delhi,Indore,4.34,Air Cargo,Dox,3
Bhubaneswar,Srinagar,4.52,Air Cargo,Non-Dox,3
Vizag,Mumbai,6.81,Surface,Non-Dox,5
Surat,Amritsar,0.91,Air Cargo,Non-Dox,3
Raipur,Ahmedabad,8.3,Surface,Non-Dox,5
Meerut,Bhubaneswar,11.82,Surface,Non-Dox,5
Thiruvananthapuram,Agra,14.86,Surface,Non-Dox,5
Indore,Hyderabad,7.54,Air Cargo,Dox,5
Hyderabad,Agra,9.74,Surface,Dox,5
Aurangabad,Pune,11.39,Surface,Dox,5
Delhi,Bhubaneswar,12.63,Air Cargo,Dox,5
Ahmedabad,Pune,12.92,Surface,Non-Dox,5
Nashik,Agra,2.69,Express,Non-Dox,2
Kochi,Pune,12.9,Air Cargo,Dox,5
Coimbatore,Srinagar,5.85,Surface,Non-Dox,5
Ranchi,Raipur,12.81,Surface,Non-Dox,5
Surat,Amritsar,10.02,Surface,Dox,5
Kolkata,Vijayawada,8.88,Surface,Dox,5
Surat,Dehradun,8.62,Surface,Dox,5
Varanasi,Ahmedabad,4.05,Surface,Non-Dox,3
Vijayawada,Patna,5.43,Surface,Dox,5
Dehradun,Raipur,3.48,Air Cargo,Dox,3
Chandigarh,Ludhiana,7.24,Air Cargo,Dox,5
Aurangabad,Delhi,8.38,Surface,Non-Dox,5
Ahmedabad,Aurangabad,4.91,Surface,Dox,3
Ahmedabad,Kolkata,8.58,Surface,Non-Dox,5
Bhopal,Chennai,5.51,Express,Non-Dox,2
Lucknow,Patna,10.03,Surface,Non-Dox,5
Aurangabad,Ludhiana,1.5,Express,Non-Dox,1
Nagpur,Shimla,10.66,Surface,Dox,5
Chennai,Varanasi,8.05,Surface,Dox,5
Nagpur,Chennai,12.46,Surface,Dox,5
Thiruvananthapuram,Chandigarh,6.08,Surface,Non-Dox,5
Vizag,Ludhiana,2.9,Surface,Non-Dox,3
Jaipur,Bhubaneswar,7.63,Surface,Dox,5
Raipur,Aurangabad,7.26,Surface,Non-Dox,5
Shimla,Ranchi,11.52,Surface,Dox,5
Coimbatore,Kochi,7.39,Surface,Non-Dox,5
Coimbatore,Pune,4.04,Express,Dox,2
Aurangabad,Ahmedabad,4.18,Air Cargo,Dox,3
Coimbatore,Srinagar,9.44,Surface,Dox,5
Meerut,Ranchi,3.48,Express,Dox,2
Guwahati,Ahmedabad,5.07,Surface,Dox,5
Meerut,Ludhiana,6.26,Express,Non-Dox,2
Vijayawada,Vizag,10.61,Air Cargo,Dox,5
Nashik,Thiruvananthapuram,13.88,Surface,Non-Dox,5
Coimbatore,Meerut,13.45,Surface,Dox,5
Guwahati,Kochi,9.07,Surface,Non-Dox,5
Meerut,Nagpur,12.02,Surface,Dox,5
Guwahati,Lucknow,3.33,Air Cargo,Non-Dox,3
Dehradun,Amritsar,7.2,Express,Dox,2
Bhopal,Mumbai,1.31,Air Cargo,Non-Dox,3
Meerut,Bangalore,13.14,Express,Non-Dox,2
Raipur,Shimla,3.03,Express,Non-Dox,2
Coimbatore,Vijayawada,6.84,Surface,Dox,5
Chennai,Thiruvananthapuram,9.77,Surface,Dox,5
Patna,Pune,12.54,Express,Dox,2
Dehradun,Delhi,11.29,Express,Dox,2
Nashik,Vizag,14.21,Surface,Dox,5
Delhi,Srinagar,3.71,Air Cargo,Non-Dox,3
Nashik,Nagpur,2.65,Express,Dox,2
Bhopal,Vijayawada,7.12,Surface,Dox,5
Meerut,Varanasi,6.34,Surface,Non-Dox,5
Bhubaneswar,Meerut,2.99,Express,Dox,2
Vijayawada,Bhopal,7.78,Air Cargo,Non-Dox,5
Bhubaneswar,Mumbai,12.23,Express,Dox,2
Ludhiana,Indore,10.62,Surface,Dox,5
Pune,Kolkata,5.81,Express,Dox,2
Bangalore,Chennai,6.88,Surface,Non-Dox,5
Thiruvananthapuram,Meerut,11.85,Surface,Non-Dox,5
Chennai,Surat,7.16,Surface,Non-Dox,5
Raipur,Chennai,6.22,Air Cargo,Non-Dox,5
Nashik,Guwahati,9.67,Surface,Dox,5
Indore,Jaipur,9.47,Express,Non-Dox,2
Ranchi,Amritsar,10.54,Surface,Non-Dox,5
Agra,Vizag,10.69,Express,Dox,2
Ranchi,Guwahati,12.51,Express,Dox,2
Bhopal,Thiruvananthapuram,13.28,Express,Dox,2
Guwahati,Surat,10.6,Air Cargo,Dox,5
Agra,Bangalore,4.06,Surface,Non-Dox,3
Jaipur,Dehradun,2.02,Surface,Non-Dox,3
Meerut,Srinagar,7.65,Surface,Dox,5
Chandigarh,Surat,4.05,Air Cargo,Non-Dox,3
Patna,Varanasi,6.58,Surface,Dox,5
Varanasi,Nagpur,7.18,Surface,Non-Dox,5
Nashik,Aurangabad,8.73,Express,Dox,2
Ahmedabad,Patna,4.86,Surface,Non-Dox,3
Chennai,Nashik,8.65,Surface,Dox,5
Chandigarh,Ranchi,11.91,Air Cargo,Non-Dox,5
Nagpur,Hyderabad,5.24,Surface,Dox,5
Agra,Nashik,12.05,Surface,Dox,5
Guwahati,Bangalore,7.28,Surface,Dox,5
Ranchi,Coimbatore,5.67,Surface,Dox,5
Thiruvananthapuram,Chandigarh,8.95,Express,Dox,2
Chennai,Nagpur,8.28,Surface,Dox,5
Amritsar,Aurangabad,9.24,Air Cargo,Dox,5
Delhi,Meerut,7.73,Air Cargo,Dox,5
Thiruvananthapuram,Dehradun,4.22,Surface,Dox,3
Bangalore,Nashik,8.16,Surface,Dox,5
Pune,Nagpur,12.4,Surface,Dox,5
Ludhiana,Bangalore,11.69,Express,Non-Dox,2
Thiruvananthapuram,Varanasi,11.31,Surface,Dox,5
Nashik,Dehradun,3.08,Surface,Dox,3
Ahmedabad,Chandigarh,8.98,Express,Dox,2
Indore,Surat,8.34,Surface,Dox,5
Bhubaneswar,Nashik,12.95,Air Cargo,Non-Dox,5
Bhopal,Jaipur,4.82,Surface,Dox,3
Thiruvananthapuram,Jamshedpur,6.97,Express,Dox,2
Mumbai,Coimbatore,11.09,Air Cargo,Non-Dox,5
Kochi,Thiruvananthapuram,6.28,Air Cargo,Non-Dox,5
Nagpur,Patna,4.26,Air Cargo,Non-Dox,3
Nashik,Shimla,12.34,Air Cargo,Non-Dox,5
Vijayawada,Kochi,2.55,Surface,Dox,3
Srinagar,Chennai,3.03,Surface,Dox,3
Meerut,Varanasi,9.24,Express,Non-Dox,2
Mumbai,Varanasi,13.53,Air Cargo,Dox,5
Varanasi,Vijayawada,11.12,Surface,Non-Dox,5
Varanasi,Chennai,6.99,Surface,Non-Dox,5
Bhubaneswar,Aurangabad,8.84,Express,Dox,2
Srinagar,Ranchi,11.03,Surface,Non-Dox,5
Ludhiana,Srinagar,1.7,Surface,Dox,3
Nagpur,Thiruvananthapuram,10.73,Surface,Dox,5
Indore,Kolkata,9.42,Air Cargo,Dox,5
Coimbatore,Vizag,9.22,Surface,Non-Dox,5
Srinagar,Chandigarh,4.17,Air Cargo,Non-Dox,3
Patna,Jaipur,4.75,Surface,Non-Dox,3
Varanasi,Jamshedpur,2.24,Air Cargo,Non-Dox,3
Kolkata,Coimbatore,10.79,Express,Dox,2
Bhopal,Indore,7.7,Surface,Dox,5
Amritsar,Ahmedabad,4.95,Air Cargo,Dox,3
Vijayawada,Dehradun,3.96,Air Cargo,Dox,3
Chandigarh,Delhi,5.86,Surface,Non-Dox,5
Kolkata,Vijayawada,6.3,Air Cargo,Dox,5
Vijayawada,Agra,10.19,Surface,Dox,5
Bhubaneswar,Vijayawada,5.03,Surface,Non-Dox,5
Amritsar,Vijayawada,4.51,Surface,Dox,3
Varanasi,Lucknow,11.45,Surface,Dox,5
Vizag,Bangalore,2.84,Express,Dox,2
Delhi,Nagpur,12.11,Express,Dox,2
Nashik,Indore,9.36,Air Cargo,Dox,5
Ludhiana,Meerut,5.72,Surface,Non-Dox,5
Vizag,Nagpur,7.36,Surface,Non-Dox,5
Nagpur,Kolkata,9.2,Surface,Dox,5
Raipur,Jamshedpur,11.29,Air Cargo,Non-Dox,5
Indore,Ranchi,9.64,Surface,Non-Dox,5
Amritsar,Kolkata,6.11,Express,Non-Dox,2
Dehradun,Delhi,6.04,Surface,Non-Dox,5
Meerut,Delhi,8.44,Express,Dox,2
Indore,Srinagar,9.94,Surface,Non-Dox,5
Hyderabad,Surat,3.21,Surface,Non-Dox,3
Ahmedabad,Mumbai,7.4,Surface,Dox,5
Ranchi,Jaipur,1.87,Surface,Non-Dox,3
Kochi,Agra,14.43,Surface,Dox,5
Chandigarh,Srinagar,5.86,Air Cargo,Non-Dox,5
Agra,Coimbatore,2.16,Express,Non-Dox,2
Vizag,Chandigarh,14.41,Surface,Non-Dox,5
Agra,Amritsar,6.42,Air Cargo,Non-Dox,5
Thiruvananthapuram,Jaipur,5.24,Surface,Non-Dox,5
Bhopal,Ahmedabad,2.88,Air Cargo,Non-Dox,3
Chennai,Nagpur,9.91,Surface,Dox,5
Nagpur,Thiruvananthapuram,5.4,Surface,Non-Dox,5
Agra,Ahmedabad,13.06,Air Cargo,Non-Dox,5
Ranchi,Indore,8.29,Surface,Dox,5
Aurangabad,Coimbatore,9.2,Surface,Dox,5
Chandigarh,Varanasi,11.59,Surface,Non-Dox,5
Pune,Indore,12.24,Air Cargo,Non-Dox,5
Patna,Lucknow,12.75,Express,Non-Dox,2
Jamshedpur,Aurangabad,10.06,Surface,Non-Dox,5
Ahmedabad,Nagpur,3.71,Air Cargo,Dox,3
Chennai,Nashik,6.31,Express,Dox,2
Shimla,Varanasi,12.34,Air Cargo,Non-Dox,5
Ranchi,Ludhiana,8.13,Express,Non-Dox,2
Agra,Meerut,7.54,Surface,Dox,5
Surat,Delhi,11.87,Surface,Non-Dox,5
Meerut,Shimla,12.2,Air Cargo,Dox,5
Dehradun,Coimbatore,11.21,Surface,Dox,5
Patna,Bangalore,11.03,Air Cargo,Dox,5
Nagpur,Agra,9.61,Air Cargo,Non-Dox,5
Delhi,Vijayawada,13.12,Surface,Dox,5
Thiruvananthapuram,Ranchi,4.73,Surface,Non-Dox,3
Ahmedabad,Raipur,4.84,Surface,Non-Dox,3
Pune,Mumbai,11.67,Surface,Non-Dox,5
Vizag,Meerut,6.26,Surface,Dox,5
Ludhiana,Srinagar,10.68,Air Cargo,Dox,5
Hyderabad,Vijayawada,5.01,Surface,Dox,5
Bhubaneswar,Jamshedpur,9.82,Surface,Non-Dox,5
Nagpur,Chandigarh,11.63,Express,Non-Dox,2
Mumbai,Bhopal,7.51,Air Cargo,Non-Dox,5
Vizag,Ahmedabad,12.33,Surface,Non-Dox,5
Mumbai,Ranchi,5.26,Surface,Non-Dox,5
Shimla,Mumbai,2.36,Surface,Dox,3
Bangalore,Varanasi,8.82,Surface,Dox,5
Pune,Bhopal,3.36,Express,Dox,2
Delhi,Kochi,12.15,Air Cargo,Non-Dox,5
Indore,Pune,2.28,Surface,Non-Dox,3
Patna,Surat,6.95,Air Cargo,Dox,5
Bhopal,Guwahati,4.57,Air Cargo,Non-Dox,3
Bhopal,Coimbatore,2.77,Surface,Non-Dox,3
Pune,Delhi,2.81,Express,Non-Dox,2
Raipur,Pune,12.59,Express,Dox,2
Chennai,Jaipur,12.12,Air Cargo,Non-Dox,5
Ahmedabad,Nashik,8.97,Surface,Non-Dox,5
Meerut,Bhopal,10.98,Surface,Dox,5
Pune,Coimbatore,10.54,Surface,Non-Dox,5
Kolkata,Amritsar,9.51,Surface,Dox,5
Indore,Pune,2.79,Air Cargo,Non-Dox,3
Guwahati,Raipur,8.75,Surface,Non-Dox,5
Patna,Vizag,5.23,Surface,Dox,5
Varanasi,Nashik,13.62,Surface,Non-Dox,5
Guwahati,Vizag,5.73,Air Cargo,Non-Dox,5
Varanasi,Dehradun,7.7,Surface,Non-Dox,5
Mumbai,Amritsar,5.43,Surface,Non-Dox,5
Thiruvananthapuram,Dehradun,3.77,Surface,Dox,3
Srinagar,Dehradun,5.05,Surface,Non-Dox,5
Bangalore,Shimla,3.89,Surface,Non-Dox,3
Bhopal,Nagpur,2.39,Air Cargo,Non-Dox,3
Ranchi,Srinagar,10.28,Surface,Non-Dox,5
Nagpur,Delhi,2.7,Express,Non-Dox,2
Vijayawada,Pune,3.32,Surface,Non-Dox,3
Kochi,Patna,6.47,Surface,Non-Dox,5
Dehradun,Agra,8.88,Surface,Non-Dox,5
Nagpur,Delhi,7.01,Express,Non-Dox,2
Ranchi,Amritsar,13.12,Surface,Dox,5
Guwahati,Bhubaneswar,4.88,Surface,Non-Dox,3
Bhubaneswar,Varanasi,4.44,Surface,Non-Dox,3
Varanasi,Aurangabad,11.64,Express,Non-Dox,2
Meerut,Hyderabad,12.46,Surface,Non-Dox,5
Raipur,Vizag,2.34,Air Cargo,Non-Dox,3
Nagpur,Thiruvananthapuram,4.21,Express,Dox,2
Agra,Pune,7.92,Surface,Non-Dox,5
Surat,Delhi,4.73,Express,Dox,2
Mumbai,Kolkata,12.08,Air Cargo,Dox,5
Vijayawada,Kochi,4.13,Air Cargo,Dox,3
Nashik,Vizag,10.74,Express,Dox,2
Amritsar,Bhopal,7.05,Surface,Dox,5
Bangalore,Kolkata,4.52,Express,Dox,2
Dehradun,Shimla,5.36,Surface,Non-Dox,5
Indore,Dehradun,11.21,Air Cargo,Non-Dox,5
Coimbatore,Delhi,7.25,Surface,Dox,5
Srinagar,Ahmedabad,7.96,Express,Dox,2
Shimla,Kochi,3.6,Surface,Non-Dox,3
Delhi,Amritsar,10.43,Air Cargo,Dox,5
Vizag,Bhopal,1.42,Surface,Non-Dox,3
Nashik,Jaipur,5.11,Surface,Dox,5
Thiruvananthapuram,Jaipur,11,Surface,Dox,5
Jaipur,Aurangabad,8.22,Surface,Dox,5
Surat,Meerut,8.03,Surface,Dox,5
Pune,Vijayawada,8.49,Surface,Dox,5
Ranchi,Agra,10.76,Surface,Dox,5
Hyderabad,Aurangabad,6.53,Surface,Dox,5
Amritsar,Shimla,6.51,Air Cargo,Non-Dox,5
Indore,Hyderabad,4.95,Surface,Dox,3
Meerut,Pune,5.73,Surface,Non-Dox,5
Jamshedpur,Ranchi,8.41,Air Cargo,Dox,5
Coimbatore,Srinagar,5.69,Surface,Dox,5
Thiruvananthapuram,Ludhiana,11.25,Surface,Non-Dox,5
Delhi,Hyderabad,8.97,Surface,Non-Dox,5
Nashik,Patna,12.23,Express,Dox,2
Mumbai,Bhubaneswar,12,Express,Dox,2
Mumbai,Bangalore,11.94,Surface,Non-Dox,5
Srinagar,Kolkata,7.88,Surface,Non-Dox,5
Srinagar,Agra,11.35,Air Cargo,Dox,5
Raipur,Ranchi,10.56,Express,Dox,2
Nashik,Pune,6.86,Air Cargo,Dox,5
Raipur,Jamshedpur,1.78,Air Cargo,Non-Dox,3
Chandigarh,Surat,2.76,Surface,Non-Dox,3
Kolkata,Dehradun,4.49,Express,Non-Dox,2
Delhi,Jamshedpur,12.68,Express,Non-Dox,2
Vijayawada,Guwahati,4.88,Surface,Dox,3
Shimla,Delhi,1.99,Surface,Non-Dox,3
Agra,Lucknow,8.24,Surface,Non-Dox,5
Aurangabad,Bangalore,3.69,Surface,Non-Dox,3
Chandigarh,Indore,7.99,Express,Dox,2
Jamshedpur,Surat,6.13,Express,Dox,2
Meerut,Bangalore,11.81,Surface,Non-Dox,5
Ranchi,Mumbai,4.95,Surface,Non-Dox,3
Ranchi,Varanasi,4.16,Express,Non-Dox,2
Ludhiana,Delhi,5.66,Express,Dox,2
Mumbai,Ranchi,6.84,Surface,Non-Dox,5
Vizag,Kolkata,6.53,Surface,Dox,5
Kochi,Dehradun,4.51,Air Cargo,Dox,3
Pune,Guwahati,8,Surface,Dox,5
Meerut,Ludhiana,2.81,Air Cargo,Dox,3
Indore,Lucknow,7.43,Surface,Non-Dox,5
Delhi,Vizag,5.71,Air Cargo,Non-Dox,5
Amritsar,Mumbai,6.3,Surface,Dox,5
Guwahati,Lucknow,6.58,Surface,Non-Dox,5
Jamshedpur,Agra,9.1,Express,Dox,2
Pune,Bhopal,10.33,Express,Non-Dox,2
Indore,Kolkata,4.4,Surface,Dox,3
Nashik,Guwahati,13.54,Express,Dox,2
Ludhiana,Bhopal,12.73,Express,Non-Dox,2
Nagpur,Nashik,1.93,Surface,Dox,3
Bangalore,Chandigarh,7.28,Express,Dox,2
Bangalore,Ludhiana,7.43,Air Cargo,Dox,5
Chandigarh,Ludhiana,12.67,Surface,Dox,5
Kolkata,Aurangabad,5.44,Air Cargo,Non-Dox,5
Chandigarh,Guwahati,3.44,Surface,Dox,3
Shimla,Chennai,10.2,Air Cargo,Non-Dox,5
Delhi,Jaipur,1.89,Air Cargo,Non-Dox,3
Kochi,Bhopal,14.29,Surface,Dox,5
