Pickup_Location,Destination,Courier_Type,Historical_Deliveries,Actual_Delivery_Days
Delhi,Ahmedabad,Express,1,1
Ahmedabad,Kolkata,Express,7,6
Chennai,Ahmedabad,Same Day,3,3
Hyderabad,Ahmedabad,Standard,5,5
Ahmedabad,Ahmedabad,Express,4,4
Bangalore,Pune,Same Day,4,5
Bangalore,Ahmedabad,Same Day,3,4
Kolkata,Delhi,Express,1,2
Kolkata,Kolkata,Express,5,4
Kolkata,Bangalore,Standard,4,4
Delhi,Mumbai,Express,5,6
Delhi,Mumbai,Same Day,2,3
Hyderabad,Kolkata,Express,2,2
Mumbai,Kolkata,Express,5,6
Bangalore,Mumbai,Standard,1,1
Chennai,Ahmedabad,Same Day,3,2
Hyderabad,Delhi,Standard,5,6
Bangalore,Delhi,Express,5,6
Hyderabad,Hyderabad,Standard,4,3
Chennai,Hyderabad,Express,3,2
Hyderabad,Bangalore,Standard,2,1
Hyderabad,Pune,Standard,2,2
Chennai,Pune,Standard,7,7
Hyderabad,Mumbai,Standard,7,7
Delhi,Hyderabad,Same Day,3,4
Mumbai,Pune,Same Day,5,5
Mumbai,Kolkata,Standard,1,2
Kolkata,Hyderabad,Same Day,1,1
Delhi,Bangalore,Standard,1,2
Mumbai,Pune,Standard,7,8
Bangalore,Bangalore,Express,2,1
Pune,Pune,Express,6,7
Hyderabad,Chennai,Same Day,2,2
Ahmedabad,Hyderabad,Standard,1,1
Chennai,Ahmedabad,Same Day,6,5
Ahmedabad,Ahmedabad,Standard,3,2
Bangalore,Kolkata,Same Day,7,6
Pune,Kolkata,Express,4,3
Chennai,Pune,Same Day,3,3
Bangalore,Bangalore,Same Day,4,3
Ahmedabad,Bangalore,Express,5,5
Pune,Pune,Standard,1,1
Chennai,Delhi,Same Day,4,5
Hyderabad,Mumbai,Same Day,5,6
Delhi,Bangalore,Express,4,3
Hyderabad,Mumbai,Express,1,2
Bangalore,Hyderabad,Standard,1,1
Pune,Mumbai,Standard,4,5
Delhi,Ahmedabad,Express,3,3
Pune,Pune,Express,1,1
Pune,Chennai,Standard,4,5
Bangalore,Bangalore,Standard,1,1
Chennai,Bangalore,Same Day,1,1
Ahmedabad,Delhi,Standard,3,3
Delhi,Kolkata,Express,5,6
Delhi,Bangalore,Express,2,2
Pune,Kolkata,Standard,7,6
Pune,Ahmedabad,Same Day,5,6
Mumbai,Delhi,Standard,5,5
Kolkata,Chennai,Standard,4,3
Delhi,Kolkata,Express,2,2
Chennai,Delhi,Standard,3,2
Hyderabad,Delhi,Standard,2,2
Ahmedabad,Delhi,Standard,1,1
Delhi,Pune,Same Day,1,2
Delhi,Delhi,Express,7,7
Delhi,Chennai,Express,2,3
Pune,Mumbai,Same Day,5,5
Pune,Pune,Standard,2,3
Delhi,Chennai,Express,2,2
Bangalore,Delhi,Same Day,1,2
Hyderabad,Chennai,Express,1,1
Delhi,Pune,Same Day,5,4
Bangalore,Bangalore,Standard,6,7
Kolkata,Hyderabad,Same Day,6,7
Ahmedabad,Ahmedabad,Standard,5,6
Ahmedabad,Delhi,Express,4,5
Kolkata,Bangalore,Express,7,8
Mumbai,Hyderabad,Same Day,7,6
Chennai,Bangalore,Same Day,1,1
Mumbai,Kolkata,Express,5,6
Pune,Kolkata,Same Day,3,2
Pune,Delhi,Same Day,7,7
Pune,Bangalore,Same Day,2,2
Bangalore,Kolkata,Same Day,5,4
Hyderabad,Ahmedabad,Express,4,4
Hyderabad,Hyderabad,Standard,2,2
Ahmedabad,Delhi,Same Day,6,5
Bangalore,Pune,Standard,6,6
Chennai,Mumbai,Same Day,7,7
Kolkata,Delhi,Express,7,8
Delhi,Chennai,Same Day,5,4
Kolkata,Delhi,Standard,4,3
Chennai,Pune,Same Day,7,6
Mumbai,Kolkata,Standard,7,6
Pune,Mumbai,Standard,1,1
Ahmedabad,Delhi,Standard,2,1
Mumbai,Mumbai,Express,5,5
Pune,Bangalore,Express,4,4
Kolkata,Ahmedabad,Standard,5,4
Delhi,Chennai,Express,5,4
Hyderabad,Kolkata,Standard,1,1
Ahmedabad,Kolkata,Express,1,2
Delhi,Mumbai,Same Day,6,6
Ahmedabad,Pune,Same Day,1,1
Mumbai,Hyderabad,Same Day,7,8
Delhi,Delhi,Express,5,5
Delhi,Hyderabad,Standard,6,6
Bangalore,Ahmedabad,Express,5,4
Kolkata,Ahmedabad,Same Day,6,5
Delhi,Pune,Standard,7,6
Ahmedabad,Kolkata,Standard,5,5
Bangalore,Delhi,Same Day,5,6
Chennai,Mumbai,Same Day,5,5
Mumbai,Kolkata,Express,3,4
Mumbai,Kolkata,Express,3,2
Chennai,Bangalore,Standard,6,6
Kolkata,Ahmedabad,Standard,1,1
Chennai,Chennai,Express,3,2
Kolkata,Pune,Standard,4,5
Chennai,Kolkata,Same Day,3,2
Hyderabad,Pune,Standard,1,2
Delhi,Delhi,Same Day,4,5
Ahmedabad,Ahmedabad,Standard,2,3
Mumbai,Ahmedabad,Standard,2,2
Ahmedabad,Ahmedabad,Same Day,6,6
Mumbai,Bangalore,Standard,2,1
Ahmedabad,Bangalore,Express,2,1
Delhi,Bangalore,Express,4,5
Chennai,Mumbai,Standard,1,1
Delhi,Bangalore,Express,7,8
Mumbai,Chennai,Standard,3,2
Ahmedabad,Bangalore,Standard,1,1
Bangalore,Delhi,Standard,1,1
Chennai,Hyderabad,Express,2,1
Chennai,Ahmedabad,Same Day,1,2
Hyderabad,Mumbai,Standard,6,7
Kolkata,Hyderabad,Express,7,7
Chennai,Hyderabad,Same Day,1,2
Hyderabad,Chennai,Express,4,4
Bangalore,Bangalore,Standard,4,3
Mumbai,Delhi,Express,3,3
Chennai,Mumbai,Express,4,4
Bangalore,Chennai,Standard,3,3
Mumbai,Ahmedabad,Same Day,4,5
Delhi,Kolkata,Same Day,6,6
Mumbai,Chennai,Same Day,5,6
Mumbai,Delhi,Same Day,2,2
Hyderabad,Chennai,Express,4,5
Kolkata,Bangalore,Same Day,5,6
Delhi,Delhi,Express,2,1
Ahmedabad,Ahmedabad,Express,3,3
Ahmedabad,Hyderabad,Express,6,7
Chennai,Mumbai,Express,3,2
Chennai,Ahmedabad,Standard,5,5
Kolkata,Pune,Standard,6,6
Delhi,Bangalore,Standard,7,6
Chennai,Delhi,Standard,4,5
Ahmedabad,Hyderabad,Express,3,2
Delhi,Kolkata,Express,1,1
Hyderabad,Pune,Same Day,2,1
Hyderabad,Hyderabad,Same Day,7,6
Mumbai,Chennai,Same Day,3,4
Ahmedabad,Chennai,Same Day,5,4
Hyderabad,Bangalore,Standard,7,6
Hyderabad,Kolkata,Express,1,1
Pune,Kolkata,Express,2,1
Mumbai,Mumbai,Same Day,6,7
Hyderabad,Hyderabad,Same Day,5,4
Delhi,Ahmedabad,Standard,5,4
Chennai,Ahmedabad,Same Day,2,1
Kolkata,Ahmedabad,Standard,6,6
Bangalore,Kolkata,Standard,7,7
Bangalore,Ahmedabad,Same Day,2,2
Mumbai,Ahmedabad,Same Day,7,7
Kolkata,Ahmedabad,Express,2,2
Delhi,Ahmedabad,Same Day,4,5
Pune,Delhi,Standard,1,2
Hyderabad,Mumbai,Same Day,3,2
Ahmedabad,Hyderabad,Standard,6,7
Delhi,Kolkata,Same Day,4,5
Delhi,Pune,Same Day,4,5
Mumbai,Pune,Standard,1,1
Hyderabad,Hyderabad,Same Day,5,6
Ahmedabad,Pune,Express,5,5
Hyderabad,Kolkata,Same Day,4,3
Hyderabad,Pune,Standard,6,6
Hyderabad,Hyderabad,Express,7,7
Ahmedabad,Kolkata,Express,1,2
Ahmedabad,Ahmedabad,Express,2,3
Pune,Bangalore,Express,3,3
Hyderabad,Kolkata,Express,1,1
Pune,Bangalore,Express,1,2
Bangalore,Ahmedabad,Express,4,4
Pune,Chennai,Express,2,2
Hyderabad,Hyderabad,Same Day,5,4
Delhi,Kolkata,Express,2,3
Hyderabad,Kolkata,Express,7,6
Mumbai,Chennai,Express,6,7
Chennai,Kolkata,Same Day,7,8
Delhi,Bangalore,Standard,2,1
Hyderabad,Mumbai,Standard,2,3
Hyderabad,Bangalore,Standard,7,7
Hyderabad,Mumbai,Same Day,5,5
Ahmedabad,Ahmedabad,Standard,6,6
Hyderabad,Kolkata,Same Day,3,4
Pune,Bangalore,Express,4,3
Hyderabad,Chennai,Express,5,4
Delhi,Kolkata,Express,1,1
Hyderabad,Kolkata,Express,6,6
Pune,Kolkata,Express,5,5
Bangalore,Ahmedabad,Same Day,4,4
Mumbai,Bangalore,Express,1,1
Hyderabad,Delhi,Same Day,3,4
Chennai,Mumbai,Express,2,3
Hyderabad,Delhi,Standard,6,5
Mumbai,Kolkata,Same Day,3,4
Kolkata,Mumbai,Express,2,2
Hyderabad,Pune,Express,2,2
Delhi,Ahmedabad,Same Day,5,4
Kolkata,Hyderabad,Same Day,1,1
Ahmedabad,Delhi,Standard,3,3
Bangalore,Delhi,Standard,3,4
Kolkata,Delhi,Same Day,1,1
Delhi,Ahmedabad,Standard,3,3
Ahmedabad,Pune,Standard,5,4
Hyderabad,Chennai,Same Day,1,1
Pune,Kolkata,Express,4,5
Hyderabad,Hyderabad,Same Day,3,3
Bangalore,Ahmedabad,Standard,6,6
Pune,Mumbai,Express,2,3
Delhi,Pune,Same Day,6,7
Kolkata,Bangalore,Standard,4,3
Ahmedabad,Kolkata,Same Day,3,3
Chennai,Kolkata,Same Day,2,3
Delhi,Delhi,Standard,7,7
Delhi,Mumbai,Same Day,5,6
Ahmedabad,Hyderabad,Same Day,3,3
Ahmedabad,Chennai,Standard,4,3
Kolkata,Bangalore,Express,1,2
Mumbai,Chennai,Express,1,1
Bangalore,Pune,Standard,5,5
Hyderabad,Chennai,Same Day,2,1
Chennai,Chennai,Standard,7,7
Mumbai,Ahmedabad,Standard,2,3
Kolkata,Kolkata,Standard,6,7
Ahmedabad,Delhi,Express,6,6
Kolkata,Delhi,Same Day,4,5
Bangalore,Pune,Same Day,2,1
Ahmedabad,Ahmedabad,Same Day,3,4
Delhi,Ahmedabad,Standard,2,1
Kolkata,Mumbai,Express,1,1
Pune,Bangalore,Standard,4,4
Kolkata,Hyderabad,Standard,7,6
Pune,Chennai,Same Day,3,2
Mumbai,Kolkata,Express,3,2
Ahmedabad,Mumbai,Same Day,7,8
Delhi,Hyderabad,Standard,6,6
Chennai,Kolkata,Express,7,6
Kolkata,Hyderabad,Same Day,7,6
Hyderabad,Ahmedabad,Express,6,7
Chennai,Hyderabad,Same Day,4,3
Mumbai,Hyderabad,Standard,5,6
Hyderabad,Hyderabad,Express,4,3
Hyderabad,Chennai,Express,6,7
Kolkata,Pune,Same Day,5,4
Ahmedabad,Delhi,Standard,3,4
Hyderabad,Pune,Standard,2,3
Delhi,Ahmedabad,Express,3,4
Mumbai,Mumbai,Express,4,4
Pune,Ahmedabad,Standard,1,2
Chennai,Chennai,Standard,7,6
Kolkata,Delhi,Same Day,5,6
Kolkata,Pune,Standard,4,4
Ahmedabad,Pune,Same Day,2,2
Pune,Kolkata,Same Day,2,3
Hyderabad,Pune,Standard,4,5
Ahmedabad,Hyderabad,Standard,3,2
Delhi,Bangalore,Same Day,6,6
Mumbai,Kolkata,Same Day,4,4
Chennai,Bangalore,Same Day,6,6
Hyderabad,Bangalore,Standard,3,3
Bangalore,Ahmedabad,Standard,5,4
Ahmedabad,Mumbai,Standard,3,3
Pune,Kolkata,Express,5,6
Pune,Bangalore,Same Day,6,6
Delhi,Ahmedabad,Express,2,1
Pune,Delhi,Express,3,4
Mumbai,Bangalore,Express,1,2
Delhi,Pune,Same Day,5,5
Chennai,Ahmedabad,Standard,2,1
Chennai,Delhi,Express,2,3
Mumbai,Ahmedabad,Standard,2,3
Hyderabad,Delhi,Same Day,4,3
Ahmedabad,Bangalore,Standard,1,2
Pune,Bangalore,Standard,2,1
Pune,Delhi,Standard,4,4
Hyderabad,Kolkata,Express,6,7
Delhi,Chennai,Same Day,5,6
Pune,Hyderabad,Express,2,2
Ahmedabad,Mumbai,Express,7,6
Chennai,Mumbai,Standard,2,1
Bangalore,Pune,Standard,4,4
Chennai,Mumbai,Standard,2,1
Chennai,Delhi,Standard,1,1
Mumbai,Mumbai,Same Day,6,7
Kolkata,Bangalore,Express,2,1
Bangalore,Ahmedabad,Standard,7,6
Hyderabad,Pune,Same Day,7,7
Chennai,Ahmedabad,Express,5,5
Hyderabad,Delhi,Express,6,6
Hyderabad,Hyderabad,Same Day,2,1
Chennai,Mumbai,Standard,2,2
Delhi,Chennai,Express,2,1
Mumbai,Kolkata,Standard,6,6
Pune,Kolkata,Same Day,1,2
Pune,Hyderabad,Standard,6,6
Chennai,Delhi,Same Day,2,3
Delhi,Mumbai,Same Day,2,2
Pune,Delhi,Standard,3,4
Bangalore,Kolkata,Standard,6,7
Mumbai,Hyderabad,Express,3,2
Ahmedabad,Chennai,Standard,1,2
Mumbai,Delhi,Express,5,5
Ahmedabad,Ahmedabad,Standard,1,1
Chennai,Chennai,Standard,7,8
Kolkata,Ahmedabad,Same Day,3,3
Hyderabad,Hyderabad,Same Day,2,2
Mumbai,Delhi,Express,1,1
Bangalore,Chennai,Same Day,2,1
Chennai,Kolkata,Standard,4,4
Delhi,Ahmedabad,Express,2,1
Delhi,Hyderabad,Same Day,6,5
Ahmedabad,Delhi,Express,7,8
Delhi,Pune,Standard,4,3
Pune,Chennai,Same Day,2,3
Mumbai,Bangalore,Express,1,2
Kolkata,Mumbai,Express,3,3
Hyderabad,Kolkata,Standard,1,1
Kolkata,Chennai,Same Day,6,5
Hyderabad,Hyderabad,Same Day,3,4
Kolkata,Chennai,Standard,7,8
Kolkata,Bangalore,Express,1,1
Bangalore,Mumbai,Same Day,4,4
Kolkata,Kolkata,Standard,1,2
Pune,Bangalore,Same Day,6,7
Chennai,Mumbai,Standard,2,1
Delhi,Mumbai,Express,7,8
Pune,Hyderabad,Standard,6,5
Mumbai,Mumbai,Standard,4,4
Kolkata,Bangalore,Standard,1,1
Hyderabad,Delhi,Express,5,5
Ahmedabad,Chennai,Standard,1,1
Ahmedabad,Hyderabad,Express,5,5
Delhi,Bangalore,Same Day,3,3
Bangalore,Bangalore,Express,3,2
Delhi,Kolkata,Same Day,6,6
Kolkata,Mumbai,Express,4,5
Mumbai,Kolkata,Standard,3,2
Chennai,Hyderabad,Same Day,2,1
Kolkata,Hyderabad,Express,2,2
Bangalore,Hyderabad,Same Day,2,2
Kolkata,Kolkata,Same Day,2,3
Mumbai,Kolkata,Standard,6,6
Pune,Chennai,Same Day,7,6
Delhi,Bangalore,Express,4,4
Chennai,Delhi,Express,3,3
Bangalore,Ahmedabad,Same Day,3,3
Bangalore,Mumbai,Standard,5,5
Hyderabad,Mumbai,Express,3,4
Hyderabad,Hyderabad,Express,6,5
Pune,Chennai,Express,4,4
Mumbai,Pune,Express,2,1
Delhi,Delhi,Express,3,3
Ahmedabad,Ahmedabad,Same Day,6,7
Kolkata,Pune,Standard,7,8
Delhi,Pune,Same Day,3,2
Chennai,Mumbai,Express,3,4
Delhi,Mumbai,Same Day,6,5
Hyderabad,Bangalore,Same Day,3,4
Chennai,Bangalore,Standard,1,1
Ahmedabad,Mumbai,Same Day,2,3
Delhi,Hyderabad,Same Day,4,4
Ahmedabad,Ahmedabad,Standard,7,8
Delhi,Delhi,Same Day,7,6
Delhi,Chennai,Express,5,4
Pune,Bangalore,Same Day,3,3
Chennai,Hyderabad,Same Day,6,6
Ahmedabad,Bangalore,Same Day,1,2
Delhi,Chennai,Standard,3,2
Kolkata,Chennai,Express,3,3
Chennai,Hyderabad,Express,5,6
Kolkata,Mumbai,Same Day,4,3
Chennai,Delhi,Standard,1,1
Hyderabad,Kolkata,Express,6,7
Bangalore,Delhi,Express,3,2
Bangalore,Bangalore,Standard,6,6
Chennai,Chennai,Standard,2,1
Mumbai,Delhi,Express,3,4
Bangalore,Hyderabad,Standard,7,8
Kolkata,Ahmedabad,Express,5,4
Ahmedabad,Pune,Express,1,2
Pune,Bangalore,Same Day,4,3
Mumbai,Mumbai,Same Day,3,2
Mumbai,Delhi,Express,5,6
Bangalore,Ahmedabad,Express,5,4
Hyderabad,Mumbai,Same Day,3,3
Pune,Kolkata,Standard,7,8
Ahmedabad,Hyderabad,Standard,6,5
Pune,Pune,Express,4,3
Chennai,Mumbai,Express,6,6
Kolkata,Chennai,Express,3,4
Delhi,Hyderabad,Same Day,2,1
Chennai,Hyderabad,Express,3,2
Delhi,Ahmedabad,Same Day,4,4
Ahmedabad,Pune,Express,7,8
Kolkata,Chennai,Express,7,8
Delhi,Ahmedabad,Same Day,3,2
Kolkata,Bangalore,Express,5,6
Kolkata,Bangalore,Same Day,7,6
Pune,Chennai,Standard,2,1
Mumbai,Delhi,Standard,1,1
Ahmedabad,Pune,Same Day,7,6
Delhi,Delhi,Same Day,6,6
Delhi,Ahmedabad,Same Day,1,2
Bangalore,Chennai,Standard,3,4
Kolkata,Chennai,Express,1,1
Chennai,Bangalore,Same Day,7,7
Hyderabad,Kolkata,Standard,6,6
Chennai,Pune,Same Day,4,5
Pune,Delhi,Express,7,8
Bangalore,Hyderabad,Express,1,2
Hyderabad,Chennai,Express,5,5
Ahmedabad,Chennai,Express,4,5
Kolkata,Ahmedabad,Same Day,3,4
Kolkata,Pune,Express,1,1
Chennai,Kolkata,Standard,7,8
Bangalore,Ahmedabad,Standard,1,1
Mumbai,Hyderabad,Standard,5,6
Mumbai,Bangalore,Standard,6,5
Bangalore,Chennai,Express,1,2
Kolkata,Ahmedabad,Same Day,2,1
Kolkata,Hyderabad,Same Day,6,6
Kolkata,Ahmedabad,Standard,6,5
Chennai,Bangalore,Standard,4,4
Kolkata,Bangalore,Same Day,1,2
Mumbai,Chennai,Same Day,4,5
Pune,Chennai,Standard,3,4
Bangalore,Chennai,Express,4,4
Kolkata,Delhi,Standard,1,1
Mumbai,Mumbai,Standard,3,2
Mumbai,Ahmedabad,Same Day,5,4
Pune,Kolkata,Standard,5,4
Delhi,Kolkata,Express,7,8
Bangalore,Kolkata,Express,3,3
Delhi,Hyderabad,Express,3,4
Mumbai,Delhi,Standard,6,7
Kolkata,Pune,Same Day,4,5
Delhi,Hyderabad,Standard,7,8
Delhi,Kolkata,Same Day,1,1
Ahmedabad,Ahmedabad,Express,4,5
Pune,Hyderabad,Express,1,2
Bangalore,Bangalore,Standard,1,2
Hyderabad,Bangalore,Express,6,7
Delhi,Delhi,Standard,6,5
Mumbai,Pune,Standard,7,6
Delhi,Kolkata,Same Day,2,2
Kolkata,Hyderabad,Same Day,7,6
Pune,Chennai,Same Day,1,2
Pune,Chennai,Express,7,7
Kolkata,Pune,Standard,2,1
Delhi,Bangalore,Express,1,2
Ahmedabad,Delhi,Standard,2,2
Delhi,Hyderabad,Standard,7,7
Pune,Bangalore,Same Day,7,7
Delhi,Hyderabad,Standard,4,3
Mumbai,Delhi,Express,5,6
Kolkata,Bangalore,Same Day,6,7
Kolkata,Mumbai,Express,3,2
Pune,Bangalore,Same Day,7,6
Chennai,Chennai,Express,1,2
Mumbai,Delhi,Express,5,6
Bangalore,Hyderabad,Same Day,3,3
Mumbai,Pune,Express,5,6
Hyderabad,Ahmedabad,Standard,2,2
Ahmedabad,Mumbai,Same Day,4,5
Delhi,Mumbai,Express,1,1
Chennai,Bangalore,Standard,5,6
Pune,Ahmedabad,Standard,1,1
Delhi,Ahmedabad,Standard,2,3
Bangalore,Pune,Same Day,5,6
Chennai,Pune,Same Day,1,1
Pune,Ahmedabad,Express,7,7
Hyderabad,Mumbai,Express,4,3
Ahmedabad,Delhi,Same Day,3,3
Kolkata,Chennai,Standard,1,1
Mumbai,Ahmedabad,Same Day,4,4
Pune,Bangalore,Standard,7,6
Mumbai,Pune,Same Day,6,6
Ahmedabad,Pune,Same Day,7,8
Ahmedabad,Bangalore,Same Day,6,7
Kolkata,Kolkata,Express,5,4
Ahmedabad,Pune,Express,6,7
Hyderabad,Chennai,Same Day,6,6
Delhi,Bangalore,Same Day,7,8
Bangalore,Bangalore,Same Day,5,6
Kolkata,Ahmedabad,Standard,1,2
Ahmedabad,Hyderabad,Express,5,6
Ahmedabad,Delhi,Express,7,6
Hyderabad,Hyderabad,Express,6,5
Delhi,Kolkata,Standard,7,6
Ahmedabad,Chennai,Same Day,3,3
Kolkata,Delhi,Express,5,5
Delhi,Kolkata,Express,6,5
Bangalore,Chennai,Express,5,5
Mumbai,Hyderabad,Same Day,6,7
Chennai,Ahmedabad,Standard,7,8
Kolkata,Kolkata,Express,3,2
Pune,Pune,Same Day,2,3
Ahmedabad,Delhi,Express,7,6
Delhi,Pune,Same Day,7,8
Kolkata,Chennai,Standard,2,3
Ahmedabad,Ahmedabad,Standard,1,1
Chennai,Hyderabad,Express,1,1
Bangalore,Mumbai,Standard,2,1
Pune,Mumbai,Express,2,3
Kolkata,Hyderabad,Same Day,7,8
Hyderabad,Mumbai,Same Day,6,7
Hyderabad,Bangalore,Standard,1,2
Hyderabad,Chennai,Standard,6,7
Mumbai,Mumbai,Express,1,1
Ahmedabad,Hyderabad,Express,2,1
Delhi,Chennai,Standard,4,3
Pune,Mumbai,Standard,7,7
Mumbai,Pune,Same Day,1,1
Hyderabad,Kolkata,Express,2,3
Hyderabad,Delhi,Standard,7,6
Hyderabad,Mumbai,Same Day,7,6
Delhi,Chennai,Standard,1,1
Delhi,Chennai,Standard,1,2
Pune,Pune,Standard,7,8
Chennai,Chennai,Standard,7,6
Pune,Hyderabad,Standard,7,8
Pune,Ahmedabad,Same Day,2,2
Pune,Pune,Same Day,2,1
Pune,Chennai,Express,1,2
Pune,Kolkata,Same Day,6,5
Kolkata,Pune,Same Day,4,4
Chennai,Pune,Express,3,2
Ahmedabad,Pune,Express,3,3
Bangalore,Mumbai,Same Day,1,2
Delhi,Hyderabad,Express,3,4
Hyderabad,Hyderabad,Same Day,6,5
Pune,Hyderabad,Standard,4,3
Pune,Kolkata,Standard,1,1
Ahmedabad,Hyderabad,Same Day,4,3
Kolkata,Hyderabad,Express,1,1
Bangalore,Ahmedabad,Same Day,3,4
Hyderabad,Hyderabad,Express,7,8
Chennai,Chennai,Same Day,7,7
Ahmedabad,Ahmedabad,Standard,6,5
Chennai,Hyderabad,Express,4,5
Bangalore,Bangalore,Express,7,6
Kolkata,Delhi,Standard,7,8
Chennai,Pune,Express,3,3
Ahmedabad,Kolkata,Same Day,6,6
Bangalore,Delhi,Standard,5,6
Delhi,Hyderabad,Express,5,5
Mumbai,Mumbai,Standard,2,3
Bangalore,Mumbai,Standard,2,1
Bangalore,Kolkata,Standard,1,1
Ahmedabad,Bangalore,Express,7,8
Mumbai,Kolkata,Standard,2,3
Chennai,Hyderabad,Same Day,3,3
Mumbai,Delhi,Express,3,2
Bangalore,Ahmedabad,Same Day,5,4
Chennai,Ahmedabad,Standard,7,8
Bangalore,Chennai,Standard,6,7
Bangalore,Pune,Standard,3,4
Ahmedabad,Bangalore,Standard,2,2
Delhi,Mumbai,Same Day,6,6
Bangalore,Hyderabad,Same Day,6,7
Ahmedabad,Mumbai,Standard,4,3
Kolkata,Chennai,Standard,5,5
Chennai,Ahmedabad,Same Day,4,4
Mumbai,Mumbai,Same Day,3,2
Kolkata,Chennai,Standard,7,7
Bangalore,Chennai,Standard,6,6
Pune,Bangalore,Standard,5,6
Ahmedabad,Mumbai,Same Day,6,5
Delhi,Pune,Same Day,4,5
Chennai,Chennai,Same Day,1,1
Chennai,Hyderabad,Standard,7,8
Chennai,Mumbai,Express,7,6
Ahmedabad,Mumbai,Express,6,7
Pune,Kolkata,Standard,3,4
Chennai,Mumbai,Express,4,5
Hyderabad,Chennai,Express,4,4
Ahmedabad,Delhi,Same Day,2,3
Delhi,Ahmedabad,Express,1,2
Mumbai,Delhi,Express,3,4
Kolkata,Chennai,Same Day,5,4
Kolkata,Delhi,Same Day,6,5
Delhi,Hyderabad,Standard,3,2
Pune,Delhi,Same Day,6,7
Pune,Ahmedabad,Same Day,3,2
Bangalore,Pune,Standard,6,6
Delhi,Delhi,Same Day,4,4
Kolkata,Ahmedabad,Express,6,6
Bangalore,Chennai,Same Day,7,8
Delhi,Mumbai,Express,7,7
Ahmedabad,Hyderabad,Express,6,7
Delhi,Ahmedabad,Express,5,4
Mumbai,Ahmedabad,Same Day,6,6
Pune,Hyderabad,Same Day,7,7
Chennai,Delhi,Same Day,2,2
Pune,Pune,Same Day,1,1
Hyderabad,Bangalore,Express,2,1
Kolkata,Ahmedabad,Standard,1,1
Kolkata,Delhi,Express,7,8
Mumbai,Hyderabad,Same Day,3,2
Pune,Delhi,Express,4,5
Hyderabad,Delhi,Same Day,6,6
Mumbai,Kolkata,Express,3,3
Mumbai,Delhi,Same Day,7,6
Chennai,Ahmedabad,Express,7,8
Hyderabad,Chennai,Standard,2,1
Hyderabad,Kolkata,Standard,4,4
Pune,Hyderabad,Same Day,5,4
Kolkata,Bangalore,Same Day,1,1
Delhi,Bangalore,Same Day,4,5
Hyderabad,Bangalore,Express,4,4
Hyderabad,Pune,Same Day,3,4
Pune,Delhi,Same Day,5,6
Chennai,Delhi,Express,7,8
Ahmedabad,Mumbai,Express,2,3
Chennai,Kolkata,Express,2,3
Kolkata,Mumbai,Same Day,1,1
Hyderabad,Bangalore,Standard,1,2
Pune,Hyderabad,Express,2,1
Bangalore,Chennai,Standard,4,5
Bangalore,Bangalore,Standard,6,6
Pune,Hyderabad,Same Day,5,4
Delhi,Kolkata,Express,7,8
Delhi,Kolkata,Same Day,3,2
Bangalore,Mumbai,Standard,4,4
Mumbai,Pune,Standard,6,7
Hyderabad,Mumbai,Express,1,2
Kolkata,Ahmedabad,Express,2,2
Delhi,Kolkata,Standard,7,8
Mumbai,Delhi,Standard,7,8
Ahmedabad,Chennai,Same Day,2,1
Ahmedabad,Ahmedabad,Same Day,5,6
Ahmedabad,Bangalore,Express,6,6
Bangalore,Bangalore,Express,5,5
Delhi,Kolkata,Express,4,5
Mumbai,Ahmedabad,Standard,6,5
Chennai,Mumbai,Express,7,6
Hyderabad,Bangalore,Standard,4,4
Bangalore,Bangalore,Same Day,2,1
Mumbai,Pune,Express,1,2
Kolkata,Hyderabad,Express,3,4
Kolkata,Ahmedabad,Express,1,1
Pune,Chennai,Express,3,3
Chennai,Ahmedabad,Express,1,2
Chennai,Bangalore,Standard,4,3
Hyderabad,Bangalore,Same Day,4,3
Ahmedabad,Ahmedabad,Same Day,2,3
Chennai,Bangalore,Express,6,5
Mumbai,Hyderabad,Express,4,4
Delhi,Mumbai,Same Day,5,4
Mumbai,Delhi,Same Day,5,4
Pune,Bangalore,Same Day,2,1
Chennai,Delhi,Standard,6,6
Kolkata,Delhi,Express,6,6
Chennai,Bangalore,Same Day,4,5
Hyderabad,Pune,Express,5,6
Delhi,Delhi,Same Day,5,4
Kolkata,Hyderabad,Same Day,6,7
Mumbai,Mumbai,Same Day,6,7
Ahmedabad,Pune,Standard,2,3
Pune,Mumbai,Standard,6,5
Delhi,Pune,Same Day,6,7
Pune,Ahmedabad,Same Day,7,7
Bangalore,Delhi,Standard,2,2
Ahmedabad,Mumbai,Standard,2,2
Kolkata,Kolkata,Standard,5,4
Bangalore,Delhi,Express,3,4
Chennai,Hyderabad,Express,4,4
Pune,Pune,Same Day,6,6
Bangalore,Pune,Standard,5,4
Hyderabad,Ahmedabad,Standard,6,7
Bangalore,Pune,Express,1,1
Bangalore,Chennai,Express,4,3
Delhi,Kolkata,Express,4,3
Hyderabad,Bangalore,Same Day,1,1
Chennai,Ahmedabad,Express,1,1
Bangalore,Chennai,Same Day,5,6
Mumbai,Delhi,Express,7,8
Mumbai,Chennai,Same Day,3,3
Hyderabad,Mumbai,Standard,1,2
Mumbai,Pune,Standard,7,7
Delhi,Bangalore,Standard,3,2
Kolkata,Ahmedabad,Standard,4,4
Chennai,Delhi,Standard,3,3
